filter_level_1,filter_level_2,filter_level_3,variable_name,unit,value,scenario,year,geo
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","12.27907","E+RE-","2050","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","12.27906","E+","2050","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","12.27907","E-","2050","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","22.89653","E-B+","2050","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","3.51378","REF","2050","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","12.27907","E+RE+","2050","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","0.00074","E+RE+","2050","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","0.17878","E-","2050","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","0.29652","E+","2050","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","0.06832","E+RE-","2050","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","0.46172","E-B+","2050","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","4.74189","REF","2050","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05349","REF","2050","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05383","E+","2050","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.54449","E+RE-","2050","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.10748","E+RE+","2050","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05404","E-","2050","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05398","E-B+","2050","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.0677","E-B+","2050","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.0677","E-","2050","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.0677","E+","2050","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.0677","E+RE+","2050","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.06769","REF","2050","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.0677","E+RE-","2050","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","8.51792","E-","2050","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","6.97292","E+","2050","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","8.06526","E-B+","2050","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","0.02198","E+RE+","2050","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","18.21463","E+RE-","2050","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","37.95964","REF","2050","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","17.82496","E-","2050","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","15.87157","E-B+","2050","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","10.5662","E+","2050","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","0.00595","E+RE+","2050","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","37.56107","REF","2050","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","13.57189","E+RE-","2050","national"
